Title,Date,Type,Journal,Article URL,Researcher Name,Profile URL
Does cybersecurity risk stifle corporate innovation activities?,Jan 2024,Contribution to journal,International Review of Financial Analysis.,https://research-repository.uwa.edu.au/en/publications/does-cybersecurity-risk-stifle-corporate-innovation-activities,Chloe Ho,https://research-repository.uwa.edu.au/en/persons/choy-yeing-ho
Equity in capital raising? Empirical evidence from structured private placements,Feb 2024,Contribution to journal,Journal of Banking and Finance.,https://research-repository.uwa.edu.au/en/publications/equity-in-capital-raising-empirical-evidence-from-structured-priv,Chloe Ho,https://research-repository.uwa.edu.au/en/persons/choy-yeing-ho
The cost of corporate social irresponsibility for acquirers,May 2024,Contribution to journal,Journal of Banking and Finance.,https://research-repository.uwa.edu.au/en/publications/the-cost-of-corporate-social-irresponsibility-for-acquirers,Chloe Ho,https://research-repository.uwa.edu.au/en/persons/choy-yeing-ho
The price of corporate social irresponsibility in seasoned equity offerings: International evidence,Jul 2024,Contribution to journal,British Accounting Review.,https://research-repository.uwa.edu.au/en/publications/the-price-of-corporate-social-irresponsibility-in-seasoned-equity,Chloe Ho,https://research-repository.uwa.edu.au/en/persons/choy-yeing-ho
Price Fixing Agreement and Accounting Reportsâ€™ Opaqueness,2023,Working paper,N/A,https://research-repository.uwa.edu.au/en/publications/price-fixing-agreement-and-accounting-reports-opaqueness,Chloe Ho,https://research-repository.uwa.edu.au/en/persons/choy-yeing-ho
Price Fixing Agreement and Future Stock Price Crash Risk,2023,Working paper,N/A,https://research-repository.uwa.edu.au/en/publications/price-fixing-agreement-and-future-stock-price-crash-risk,Chloe Ho,https://research-repository.uwa.edu.au/en/persons/choy-yeing-ho
Raising Equity Capital during the COVID-19 Pandemic in Australia: The Efficacy of Regulatory Interventions,2022,Contribution to journal,Company and Securities Law Journal.,https://research-repository.uwa.edu.au/en/publications/raising-equity-capital-during-the-covid-19-pandemic-in-australia-,Chloe Ho,https://research-repository.uwa.edu.au/en/persons/choy-yeing-ho
The COVID-19 pandemic: How important is face-to-face interaction for information dissemination?,Nov 2022,Contribution to journal,Global Finance Journal.,https://research-repository.uwa.edu.au/en/publications/the-covid-19-pandemic-how-important-is-face-to-face-interaction-f,Chloe Ho,https://research-repository.uwa.edu.au/en/persons/choy-yeing-ho
CEO and CFO equity compensation and dividend payout over the firm lifecycle,Aug 2021,Contribution to journal,Global Finance Journal.,https://research-repository.uwa.edu.au/en/publications/ceo-and-cfo-equity-compensation-and-dividend-payout-over-the-firm,Chloe Ho,https://research-repository.uwa.edu.au/en/persons/choy-yeing-ho
Mobility during the COVID-19 Pandemic and Retail Investor Attention,31 Jan 2021,Working pap,N/A,https://research-repository.uwa.edu.au/en/publications/mobility-during-the-covid-19-pandemic-and-retail-investor-attenti,Chloe Ho,https://research-repository.uwa.edu.au/en/persons/choy-yeing-ho
Rights issues: Retail shareholders and their participation decisions,Sept 2021,Contribution to journal,International Review of Finance.,https://research-repository.uwa.edu.au/en/publications/rights-issues-retail-shareholders-and-their-participation-decisio,Chloe Ho,https://research-repository.uwa.edu.au/en/persons/choy-yeing-ho
Value of Dividend Signaling in Uncertain Times,Dec 2021,Contribution to journal,International Review of Finance.,https://research-repository.uwa.edu.au/en/publications/value-of-dividend-signaling-in-uncertain-times,Chloe Ho,https://research-repository.uwa.edu.au/en/persons/choy-yeing-ho
Off-Market Buybacks in Australia: Evidence of Abnormal Trading around Key Dates.,1 Dec 2014,Contribution to journal,International Review of Finance.,https://research-repository.uwa.edu.au/en/publications/off-market-buybacks-in-australia-evidence-of-abnormal-trading-aro,Chloe Ho,https://research-repository.uwa.edu.au/en/persons/choy-yeing-ho
