Journal Title,Publisher,ISSN,ISSN Online,Year Inception,FoR,Rating
4OR,Springer Nature,1619-4500,1614-2411,2003,3599,B
AACE International Transactions,AACE International,1528-7106,1528-7106,1967,3599,B
Abacus,Wiley-Blackwell Publishing,0001-3072,1467-6281,1965,3501,A
Academia Economic Papers,"Institute of Economics, Academia Sinica",1018-161X,,1973,3801,C
Academy of Management Annals,Academy of Management,1941-6520,1941-6067,2008,3507,A*
Academy of Management Discoveries,Academy of Management,2168-1007,,2015,3507,A
Academy of Management Journal,Academy of Management,0001-4273,1948-0989,1958,3507,A*
Academy of Management Learning and Education,Academy of Management,1537-260X,1944-9585,2002,3507,A*
Academy of Management Perspectives,Academy of Management,1558-9080,1943-4529,1987,3507,A
Academy of Management Review,Academy of Management,0363-7425,1930-3807,1976,3507,A*